CC or CH,Apartment Name,CC_ID,Priority_Last Date,Priority,Add,District,City,Latitude,Longitude,CL Apartment Name,Ngày hoàn thành,Handover Y-Q,Quantity,Ngày bàn giao cuối cùng,Số Lượng Biệt Thự,Price/m2,rating,user_ratings_total,business_status,place_id,Total Population,Total Households,Average Household Size,CC_Segment,Sales,que_point,Close_Store
CC,KDC Phường 2,CCBLI0001,,0,"3 Cầu, Phường 2, Bạc Liêu",Phường 2,Bạc Liêu,9.280934,105.721306,,,,,,,,,,,,,,,Trung bình,,,
CC,KDC Phường 5,CCBLI0002,,0,,Phường 5,Bạc Liêu,9.278153,105.729954,,,,,,,,,,,,,,,Trung bình,,,
CC,KDC Tràng An,CCBLI0003,,0,,Phường 7,Bạc Liêu,9.307046,105.7154,KDC Tràng An,1/1/2018,2018-1,,,,,,,,,,,,Trung bình,,,
CC,KDC Thiên Long,CCBLI0004,,0,,Phường 5,Bạc Liêu,9.274843,105.740856,,,,,,,,,,,,,,,Trung bình,,,
CC,KDC Hoàng Phát,CCBLI0005,,0,,Phường 1,Bạc Liêu,9.311787,105.731313,KDC Hoàng Phát,1/1/2017,2017-1,150,,,,,,,,,,,Trung bình,,,
CC,KDC Hoài Phong,CCBLI0006,,0,,Vĩnh Lợi,Bạc Liêu,9.330051,105.718564,,,,,,,,,,,,,,,Trung bình,,,
CC,KDC Xẻo Lá,CCBLI0007,,0,,Vĩnh Lợi,Bạc Liêu,9.329959,105.719623,,,,,,,,,,,,,,,Trung bình,,,
CC,Nhà ở xã hội Bắc Kỳ,CCBNI0001,,0,"Ấp Đồn, Yên Lãng,Yên Trung,Yên Phong,Bắc Ninh",Yên Phong,Bắc Ninh,21.2069,105.9986,Nhà ở xã hội Bắc Kỳ,12/30/2019,2019-4,736,,,9,,,,,,,,Trung bình,,,
CC,Lotus Central,CCBNI0002,,0,"Số 26 Lý Thái Tổ,Ninh Xá,Bắc Ninh,Bắc Ninh",Bắc Ninh,Bắc Ninh,21.1768,106.0684,Lotus Central,3/31/2021,2021-1,288,,,23,,,,,,,,Trung bình,,,
CC,Quế Võ Hillview,CCBNI0003,,0,"KCN Quế Võ,Nam Sơn,Bắc Ninh,Bắc Ninh",Bắc Ninh,Bắc Ninh,21.153,106.114,Quế Võ Hillview,12/30/2018,2018-4,171,,,9,,,,,,,,Trung bình,,,
