fid,Total Population,Total Households,Average Household Size
825628,4094,1108,3.69
825629,2639,714,3.7
825630,4320,1169,3.7
825631,7969,2091,3.81
825632,26338,6766,3.89
825633,33736,8664,3.89
825634,37508,9611,3.9
825635,35704,9170,3.89
825636,35213,8458,4.16
825637,36184,8388,4.31
825638,37412,8768,4.27
825639,39155,9316,4.2
825640,38213,9098,4.2
825641,37488,8921,4.2
825642,38166,8867,4.3
825643,32262,7709,4.18
825644,27297,6596,4.14
825645,8618,2297,3.75
825646,1881,509,3.7
825647,1444,382,3.78
825648,1074,266,4.04
825649,3014,746,4.04
827269,4171,1195,3.49
827270,2532,763,3.32
827271,2264,613,3.69
827272,3277,887,3.69
827273,3006,814,3.69
827274,1677,437,3.84
827275,19609,5041,3.89
827276,33879,8703,3.89
827277,38071,9718,3.92
827278,36512,8962,4.07
827279,38240,9019,4.24
827280,34708,8435,4.11
827281,38566,9182,4.2
827282,34615,8357,4.14
827283,28629,7152,4
827284,36144,8399,4.3
827285,32089,7679,4.18
827286,13768,3420,4.03
827287,5240,1374,3.81
827288,2326,620,3.75
827289,2304,591,3.9
827290,2384,590,4.04
827291,1612,399,4.04
828911,1550,562,2.76
828912,1476,536,2.75
828913,1183,396,2.99
828914,2246,608,3.69
828915,2283,618,3.69
828916,431,117,3.68
828917,6659,1665,4
828918,26869,6788,3.96
828919,26522,6514,4.07
828920,30437,7468,4.08
828921,31889,7824,4.08
828922,28624,7108,4.03
828923,27324,6741,4.05
828924,24988,6249,4
828925,30637,7264,4.22
828926,43656,9222,4.73
828927,18998,4640,4.09
828928,15530,3801,4.09
828929,6794,1660,4.09
828930,3404,841,4.05
828931,2604,645,4.04
828932,1134,281,4.04
828933,736,182,4.04
830553,5156,1871,2.76
830554,1814,658,2.76
830555,1992,723,2.76
830556,1585,429,3.69
830557,1700,460,3.7
830558,185,53,3.49
830559,10646,2690,3.96
830560,23217,5757,4.03
830561,22333,5479,4.08
830562,29814,7315,4.08
830563,29004,7116,4.08
830564,30603,7542,4.06
830565,21742,5437,4
830566,17109,4286,3.99
830567,34618,7390,4.68
830568,45561,9555,4.77
830569,19494,4761,4.09
830570,17919,4377,4.09
830571,6698,1636,4.09
830572,3451,851,4.06
830573,1981,490,4.04
830574,2063,511,4.04
830575,3243,803,4.04
832195,10996,3387,3.25
832196,2796,891,3.14
