fid,Total Population,Total Households,Average Household Size
837118,8549,2868,2.98
837119,8753,2925,2.99
837120,8069,2685,3.01
838745,2766,827,3.34
838746,2733,817,3.35
838747,2845,850,3.35
838748,819,245,3.34
838749,244,73,3.34
838750,113,34,3.32
838751,367,110,3.34
838752,1643,491,3.35
838753,3051,956,3.19
838754,5728,1927,2.97
838755,6381,2088,3.06
838756,5458,1738,3.14
838757,7835,2552,3.07
838758,7422,2365,3.14
838759,7767,2473,3.14
838760,8356,2661,3.14
838761,7387,2352,3.14
838762,7606,2422,3.14
840387,2591,774,3.35
840388,2545,761,3.34
840389,2615,782,3.34
840390,1520,454,3.35
840391,850,254,3.35
840392,113,34,3.32
840393,81,24,3.38
840394,170,51,3.33
840395,620,185,3.35
840396,1401,436,3.21
840397,110,35,3.14
840398,42,13,3.23
840399,3430,1092,3.14
840400,7686,2447,3.14
840401,7992,2545,3.14
840402,8478,2699,3.14
840403,7870,2506,3.14
840404,8655,2756,3.14
842030,2693,805,3.35
842031,2742,820,3.34
842032,2729,816,3.34
842033,3020,903,3.34
842034,468,140,3.34
842035,477,142,3.36
842036,298,89,3.35
842037,718,215,3.34
842038,258,77,3.35
842039,99,27,3.67
842040,767,214,3.58
842041,940,287,3.28
842042,4224,1345,3.14
842043,9131,2907,3.14
842044,8322,2650,3.14
842045,8906,2836,3.14
842046,9464,3013,3.14
843671,2334,698,3.34
843672,1532,458,3.34
843673,1370,410,3.34
843674,1691,505,3.35
843675,1776,520,3.42
843676,398,104,3.83
843677,129,39,3.31
843678,355,106,3.35
843679,173,52,3.33
843680,436,130,3.35
843681,990,276,3.59
843682,1293,355,3.64
843683,946,260,3.64
843684,1779,567,3.14
843685,2184,695,3.14
843686,7068,2250,3.14
843687,7306,2326,3.14
843688,7447,2371,3.14
845313,410,123,3.33
845314,186,55,3.38
845315,337,101,3.34
845316,299,89,3.36
845324,1017,280,3.63
845325,197,54,3.65
845326,971,297,3.27
845327,624,190,3.28
845328,6366,2027,3.14
845329,7070,2251,3.14
845330,8150,2595,3.14
846955,230,69,3.33
846956,419,125,3.35
846957,231,69,3.35
846967,2651,729,3.64
846968,1879,517,3.63
846969,1157,326,3.55
846970,5800,1847,3.14
846971,8498,2706,3.14
846972,8736,2782,3.14
848597,129,39,3.31
848598,189,56,3.38
848599,254,76,3.34
848609,3060,841,3.64
848610,2461,677,3.64
848611,2921,803,3.64
848612,1413,449,3.15
848613,6593,2099,3.14
848614,7563,2408,3.14
850252,4810,1323,3.64
850253,2889,794,3.64
850254,352,98,3.59
850255,2873,875,3.28
850256,6994,2227,3.14
851895,2844,782,3.64
851896,6423,1766,3.64
851897,6354,1802,3.53
851898,8423,2662,3.16
853539,4834,1428,3.39
