fid,Total Population,Total Households,Average Household Size
932406,122,32,3.81
932407,298,77,3.87
932408,520,135,3.85
932409,122,32,3.81
932410,61,16,3.81
932411,0,0,0.0
932412,61,16,3.81
932413,122,32,3.81
932414,0,0,0.0
932415,0,0,0.0
934041,245,64,3.83
934042,92,24,3.83
934043,2554,665,3.84
934044,5818,1515,3.84
934045,5929,1544,3.84
934046,4479,1166,3.84
934047,576,150,3.84
934048,61,16,3.81
934049,398,104,3.83
934050,367,96,3.82
934051,0,0,0.0
934052,0,0,0.0
934053,122,32,3.81
934054,184,48,3.83
934055,122,32,3.81
935684,61,16,3.81
935685,868,226,3.84
935686,3508,914,3.84
935687,1032,269,3.84
935688,306,80,3.83
935689,551,143,3.85
935690,489,127,3.85
935691,389,101,3.85
935692,153,40,3.83
935693,367,96,3.82
935694,1039,271,3.83
935695,351,91,3.86
935696,61,16,3.81
935697,0,0,0.0
937326,61,16,3.81
937327,61,16,3.81
937328,0,0,0.0
937329,0,0,0.0
937330,428,112,3.82
937331,184,48,3.83
937332,192,50,3.84
937333,651,169,3.85
937334,214,56,3.82
937335,1835,478,3.84
937336,2325,605,3.84
937337,0,0,0.0
938968,0,0,0.0
938969,61,16,3.81
938970,61,16,3.81
938971,0,0,0.0
938972,0,0,0.0
938973,0,0,0.0
938974,92,24,3.83
938975,153,40,3.83
938976,23,6,3.83
938977,1410,367,3.84
938978,83,22,3.77
940611,61,16,3.81
940612,0,0,0.0
940613,306,80,3.83
940614,122,32,3.81
940615,0,0,0.0
940616,306,80,3.83
940617,0,0,0.0
940618,184,48,3.83
940619,0,0,0.0
942253,92,24,3.83
942254,184,48,3.83
942255,306,80,3.83
942256,92,24,3.83
942257,61,16,3.81
942258,214,56,3.82
942259,122,32,3.81
942260,0,0,0.0
943896,184,48,3.83
943897,61,16,3.81
943898,31,8,3.88
943899,122,32,3.81
943900,1242,323,3.85
943901,0,0,0.0
945538,0,0,0.0
945539,61,16,3.81
945540,0,0,0.0
945541,577,150,3.85
945542,529,138,3.83
945543,0,0,0.0
947180,31,8,3.88
947181,61,16,3.81
947182,153,40,3.83
947183,306,80,3.83
947184,0,0,0.0
948823,0,0,0.0
948824,0,0,0.0
948825,155,39,4.0
948826,0,0,0.0
950465,0,0,0.0
950466,61,16,3.81
950467,94,23,4.09
952108,283,70,4.04
952109,0,0,0.0
